Symbol,Shortname,Revenuegrowth,Ebitda,Marketcap,Weight,Volatility,Average Close Price,Return,Average Volume
NVDA,NVIDIA Corporation,1.0,0.4518175821979716,1.0,1.0,0.07679699524779725,0.04674893866137133,1.0,1.0
MSFT,Microsoft Corporation,0.3504273504273504,1.0,0.983980203876144,0.9839802038761443,0.1958630194156077,0.2706997361978243,0.16875003412483947,0.05628084666472916
AMZN,"Amazon.com, Inc.",0.31990231990231993,0.818390239713908,0.7163374192279366,0.7163374192279361,0.10084303999089668,0.1085748182682947,0.2562291721295116,0.11682827913957623
GOOG,Alphabet Inc.,0.34493284493284493,0.9048492277211422,0.7122634667205335,0.7122634667205333,0.08419872772319242,0.10032146620915086,0.20477410452787126,0.05277918344429207
META,"Meta Platforms, Inc.",0.36813186813186816,0.5829207917485197,0.4467075096546494,0.44670750965464917,0.30177268953912134,0.2847005914150764,0.4831140599155264,0.04537993807790305
TSLA,"Tesla, Inc.",0.30036630036630035,0.10313026315362808,0.4084826098264515,0.40848260982645207,0.2888470787212713,0.1616212904014545,0.39583395654245457,0.27163168687525857
V,Visa Inc.,0.3241758241758242,0.18844010343569614,0.1847797498054964,0.18477974980549647,0.1064735517597973,0.18760301662478235,0.13693337152230867,0.014790962590502202
ORCL,Oracle Corporation,0.2948717948717949,0.16538338420964427,0.14203648601495938,0.1420364860149586,0.06959471499301169,0.08439609553155705,0.1911173787213736,0.02020900926424933
NFLX,"Netflix, Inc.",0.3443223443223443,0.07936728990567671,0.1159259169414439,0.11592591694144423,0.40182102480372567,0.39540541394001544,0.3067584551960811,0.011397174980925753
CRM,"Salesforce, Inc.",0.30402930402930406,0.07477123525905484,0.09778779770735738,0.09778779770735681,0.16267319650742876,0.17681814846335947,0.2484370551913047,0.014758895405296964
ABBV,AbbVie Inc.,0.2759462759462759,0.19321872279188618,0.09213786432960044,0.09213786432960049,0.08202033490247371,0.11256087928883718,0.08756096004978274,0.012654830692604866
CVX,Chevron Corporation,0.21367521367521367,0.29004963856957,0.07525233438467763,0.07525233438467686,0.0783950746716342,0.10814612917914332,0.0590468602620867,0.018948843701273303
MRK,"Merck & Company, Inc.",0.2796092796092796,0.173565965476056,0.07322947338336945,0.0732294733833685,0.054275424981381354,0.07637498492423422,0.06575137724486324,0.01961382866122938
CSCO,"Cisco Systems, Inc.",0.21855921855921856,0.10682515777783277,0.06868486480683074,0.06868486480683014,0.014964040465334769,0.029740799098629218,0.10283344305198484,0.043949693152304424
MCD,McDonald's Corporation,0.2692307692307693,0.10750521727935242,0.0615973905253348,0.06159739052533477,0.11481087065691888,0.20161570060000047,0.09040523691395287,0.006889506049120173
PEP,"Pepsico, Inc.",0.2490842490842491,0.12981640932286703,0.061562759380711145,0.06156275938071127,0.06766346638175799,0.12044996930393329,0.062399369073019226,0.011945393508825985
DIS,Walt Disney Company (The),0.2753357753357753,0.12863811023211472,0.05951322075146639,0.05951322075146614,0.05021009255914208,0.06562866570991494,0.1070509475526126,0.027580942234963546
ABT,Abbott Laboratories,0.28266178266178266,0.08553587973993657,0.05806957286088444,0.058069572860883316,0.04709253344621891,0.07306541994450858,0.08330400053166442,0.012315988533525548
PM,Philip Morris International Inc,0.30402930402930406,0.11809166901070664,0.0565547962425335,0.05655479624253308,0.04003146030199039,0.06681941379185202,0.10344324285733165,0.010990492491778199
ISRG,"Intuitive Surgical, Inc.",0.35592185592185593,0.025021828681641864,0.054625769815756765,0.05462576981575701,0.2340683976100763,0.27075437173231826,0.1853952567306189,0.003416064774893496
CAT,"Caterpillar, Inc.",0.22710622710622713,0.12185929308942067,0.051567861645033485,0.05156786164503257,0.1921994528979597,0.21782402400589762,0.1369742229556693,0.00623934351618024
T,AT&T Inc.,0.2496947496947497,0.3179068146080967,0.047470750368453475,0.04747075036845334,0.0016225628669539792,0.00497987757605723,0.10209811948513417,0.08641040408291091
RTX,RTX Corporation,0.5531135531135531,0.09823525432630467,0.04497954768177644,0.04497954768177668,0.041906589098482834,0.06613819240337214,0.09568465613706359,0.015170352446583588
