Symbol,Volatility,Average Close Price,Return,Average Volume
ABBV,0.13169086384863832,0.13056436218317857,0.36225639116633573,0.031027510690193143
ABT,0.05168562371230474,0.08186941474185813,0.3783478374243881,0.024447963488752947
ADM,0.03359775920466122,0.031481262923111465,0.3714991641348546,0.015114746523922785
AES,0.012484404365724427,0.0018586298399453683,0.3949772960744322,0.06451768986978473
AJG,0.20206972233126527,0.21533978593787476,0.37503632073864457,0.007681039077163657
ALB,0.05633339531862921,0.061664426281551776,0.3803501630822606,0.00888689865993641
ALL,0.156460210478512,0.14457198016546743,0.3785697927403552,0.006255989935849951
ALLE,0.04859424325572074,0.09610315865277026,0.3726858820093174,0.003277348818105406
AMP,0.31473589292834875,0.41216708413479036,0.37172080742103397,0.00214661729748569
AMZN,0.16330100087083863,0.16901521226302973,0.27715663102338456,0.1826673309045196
ANET,0.15787448883251148,0.07995405072776171,0.0,0.03417812333705489
ANSS,0.1830814876234477,0.2590312746222037,0.3757973225920794,0.0018433363176225523
AOS,0.022350345216080137,0.045927368743173325,0.3700212209516403,0.004173884686965885
APH,0.043063234693683304,0.047534639707981975,0.4496204800853531,0.030569632226546715
AXON,0.6203888274426314,0.49125738723430057,0.3620481067781157,0.005685606935267396
AXP,0.2359443076187792,0.22773354657574824,0.37065779024277096,0.0120022922703352
BAX,0.011799007569447892,0.014879918631032035,0.3773776289189718,0.025606498230764302
BBY,0.04777259660055802,0.0592468401212064,0.3636245889534328,0.01305839485935178
BDX,0.12485555936556927,0.1715099358856321,0.37657248925376924,0.009230420040187811
BEN,0.01661583859718961,0.007820945604241911,0.3745386640309372,0.01885042221975387
BK,0.03647729343313892,0.05294313912069149,0.3746937341892026,0.021002542484668124
BKR,0.018861080484186447,0.023482482502217298,0.3697543421475762,0.030497450988526013
BLDR,0.10876462346493575,0.11055526245688731,0.36524322696607475,0.005884131076733398
BRO,0.03714691545087833,0.07296401740478575,0.37127614634058265,0.005410672497482721
BSX,0.04360896971244664,0.061958138482338866,0.3805577085206611,0.024797834053998498
BWA,0.011823336834599367,0.016801527645646012,0.36976446459575424,0.011159065395236341
C,0.04302518457587019,0.04629867672315046,0.37086839642658276,0.06468069328522744
CAT,0.32017136659845064,0.2809224590237382,0.3815264857900618,0.00942564750093783
CCL,0.03324204862472112,0.012855044737885983,0.36989556764344045,0.12568568883308665
CE,0.03480213560802275,0.04547380873465442,0.3316149363294878,0.013149836224737435
CLX,0.03345136239076789,0.12165338413724136,0.3635765320354904,0.005414084276341219
CMCSA,0.01667286551168034,0.02176381700509305,0.3820092231702595,0.10174853551096066
CME,0.09629620895131812,0.18007957056164142,0.3788436204394333,0.00997207020303032
COF,0.13445489008118394,0.13281632363299278,0.38125735465454214,0.012383765175400697
CRM,0.33246593284378534,0.26357936082666844,0.4051938130145868,0.028512681153227894
CSCO,0.027825712376653242,0.03782161911469797,0.3701014625040302,0.08891651536558258
CSGP,0.041346315585154204,0.04804349806109455,0.3823131066257015,0.011858392049258927
CVX,0.03947734505402751,0.10452654865159515,0.3751084414173202,0.07102136567109382
DE,0.22825817276897387,0.33359015785266605,0.368989275167946,0.005252575237531153
DELL,0.13590531409938333,0.083349986984533,0.36533553893966136,0.03948382940533763
DFS,0.14148270022944218,0.12848640545687326,0.3709984203689858,0.006960947281650308
DG,0.058558631529098765,0.05195931936803336,0.3663848049562285,0.01791711903672952
DHI,0.06742173270852826,0.10191697391993891,0.36812154928835367,0.01287990653936733
DIS,0.049903302233870586,0.0801580719477647,0.37138499103696077,0.04416359685068643
DLR,0.11815475603018404,0.1335485778768289,0.6403405071323502,0.008987241838790624
DOV,0.06406327453042178,0.14125369755829703,0.37353600441501417,0.003169176360874795
DPZ,0.16717929536687445,0.32866367175793776,0.36955433550031536,0.0019561960856923173
DTE,0.08051772055379222,0.08654870565621461,0.3797249248337243,0.0065880322699346325
DXCM,0.12585005587690667,0.05482977753828982,0.3810475578516212,0.018024850597369756
EA,0.05630393883110687,0.10846430906649672,0.3697633700880588,0.008707726726897123
